Time,LocationDescription,Beat,District,Ward,CommunityArea,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,PrimaryType
14.42,159,513,5,34,49,0,0,0,0,1,0,0,25
12.92,139,631,6,6,44,0,0,0,0,1,0,0,4
14.5,56,1811,18,32,7,0,0,0,0,1,0,0,8
16,124,2424,24,49,1,0,0,0,0,0,0,1,9
14.43,142,323,3,6,69,0,0,0,0,1,0,0,34
15,159,2234,22,34,75,0,0,0,0,1,0,0,3
0.02,139,1811,18,32,7,0,0,0,0,1,0,0,23
15.42,55,1225,12,2,28,0,0,0,0,1,0,0,8
14.42,152,212,2,3,35,0,0,0,0,1,0,0,2
8,139,633,6,6,49,0,1,0,0,0,0,0,33
13.17,159,1633,16,38,15,0,0,0,0,1,0,0,19
15.25,139,623,6,6,69,0,0,0,0,1,0,0,7
14.83,159,2222,22,21,71,0,0,0,0,1,0,0,7
14.98,159,2234,22,34,75,0,0,0,0,1,0,0,2
12,139,1913,19,46,3,0,0,0,0,0,0,1,9
9,19,934,9,20,61,0,0,0,0,1,0,0,7
19,155,914,9,11,34,0,0,0,0,0,0,1,30
15.83,142,1133,11,24,27,0,0,0,0,1,0,0,19
14,19,1032,10,22,30,0,0,0,0,1,0,0,3
12.5,159,121,1,2,28,0,0,0,0,1,0,0,9
16,19,2512,25,29,19,0,0,0,0,0,0,1,7
22,159,2422,24,49,1,0,0,0,0,0,0,1,33
15.92,139,911,9,12,58,0,0,0,0,1,0,0,2
12.5,153,1624,16,38,15,0,0,0,0,1,0,0,3
12,152,513,5,34,49,0,0,0,0,1,0,0,2
13,124,1711,17,39,13,0,0,0,0,0,0,1,9
15.5,96,114,1,42,32,1,0,0,0,0,0,0,3
15,117,234,2,4,41,0,0,0,0,1,0,0,33
8,139,1213,12,27,24,1,0,0,0,0,0,0,25
12,139,133,1,3,35,0,0,0,0,0,0,1,25
12.5,159,121,1,2,28,0,0,0,0,1,0,0,33
14,159,1424,14,32,24,0,0,0,0,1,0,0,33
15.43,129,612,6,21,71,0,0,0,0,1,0,0,2
15.4,159,431,4,7,51,0,0,0,0,1,0,0,33
16.5,124,511,5,9,49,0,0,1,0,0,0,0,9
14.5,143,111,1,42,32,0,0,0,0,1,0,0,33
0.92,163,1224,12,27,28,0,0,0,0,1,0,0,30
20.02,139,1232,12,27,28,0,1,0,0,0,0,0,9
14,159,131,1,2,33,0,0,0,0,1,0,0,9
16,139,1235,12,25,31,0,0,0,0,0,0,1,25
14.5,96,2512,25,36,19,0,0,0,0,1,0,0,33
11,17,2512,25,36,18,0,0,0,0,0,0,1,33
15,159,724,7,16,68,0,0,0,0,1,0,0,7
16,124,1413,14,35,22,0,0,0,0,1,0,0,7
15,152,725,7,15,67,0,0,0,0,0,0,1,33
12.25,19,624,6,6,69,0,0,0,0,1,0,0,3
12.33,155,714,7,15,67,0,0,0,0,1,0,0,3
0,19,831,8,15,66,0,0,0,0,1,0,0,3
8,159,735,7,17,67,0,0,0,0,1,0,0,23
10.5,152,822,8,14,63,0,0,0,0,1,0,0,33
15.77,139,634,6,21,49,0,0,0,0,1,0,0,19
15.42,155,623,6,6,69,0,0,0,0,1,0,0,3
16.27,19,723,7,17,68,0,0,0,0,1,0,0,3
16.83,19,324,3,8,43,0,0,0,0,1,0,0,7
16.38,13,1653,16,41,76,0,0,0,0,1,0,0,3
12.08,152,314,3,5,42,0,0,0,0,0,0,1,3
16.83,139,2413,24,50,2,0,0,0,0,1,0,0,7
10,139,1523,15,28,25,0,0,0,0,0,0,1,2
10,139,711,7,20,68,0,0,0,0,1,0,0,25
13.5,25,1921,19,47,5,0,0,0,0,1,0,0,2
10,159,122,1,2,32,0,0,0,0,1,0,0,33
19,19,2534,25,30,20,0,0,0,0,0,0,1,3
12,19,1021,10,24,29,0,0,0,0,0,0,1,9
16.5,168,513,5,34,49,0,0,0,0,1,0,0,4
